Resort,Call Category,Name,Latitude,Longitude,category_0,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,category_10,category_11,category_12
Vail,Restaurants,Manor Vail Lodge,39.63941080000001,-106.3678356,bar,lodging,restaurant,food,point_of_interest,establishment,,,,,,,
Vail,Restaurants,Gravity Haus Vail,39.64157799999999,-106.371678,gym,spa,lodging,restaurant,food,point_of_interest,health,establishment,,,,,
Vail,Restaurants,Leonora,39.6426389,-106.3778035,restaurant,food,point_of_interest,establishment,,,,,,,,,
Vail,Restaurants,Larkspur Events & Dining,39.6389618,-106.3693787,restaurant,food,point_of_interest,establishment,,,,,,,,,
Vail,Restaurants,Subway,39.63037000000001,-106.418694,meal_takeaway,restaurant,food,point_of_interest,establishment,,,,,,,,
Vail,Restaurants,Sweet Basil,39.6408609,-106.3746646,bar,restaurant,food,point_of_interest,establishment,,,,,,,,
Vail,Restaurants,Elway's,39.6402275,-106.3743814,bar,restaurant,food,point_of_interest,establishment,,,,,,,,
Vail,Restaurants,The Little Diner,39.6439143,-106.3900881,restaurant,food,point_of_interest,store,establishment,,,,,,,,
Vail,Restaurants,Red Lion,39.6402477,-106.3733325,bar,restaurant,food,point_of_interest,establishment,,,,,,,,
Vail,Restaurants,Chicago Pizza,39.64148999999999,-106.3974714,meal_delivery,meal_takeaway,restaurant,food,point_of_interest,establishment,,,,,,,
