Column,Null Count
Resort,0
Region,0
Country,0
Locale 1,0
Locale 2,199
Overall Rating,0
Elevation Difference,0
Elevation Low,0
Elevation High,0
Trails Total,0
Trails Easy,0
Trails Intermediate,0
Trails Difficult,0
Lifts,0
Price,34
Link,0
Address,0
Ski resort size,0
"Slope offering, variety of runs",0
Lifts and cable cars,0
Snow reliability,322
Slope preparation,322
"Access, on-site parking",322
"Orientation (trail map, information boards, sign-postings)",322
Cleanliness and hygiene,322
Environmentally friendly ski operation,322
Friendliness of staff,322
"Mountain restaurants, ski huts, gastronomy",322
Après-ski,322
Accommodation offering directly at the slopes and lifts,322
Families and children,322
Beginners,322
"Advanced skiers, freeriders",322
Snow parks,322
Cross-country skiing and trails,322
