Resort,Region,Country,Locale 1,Locale 2,Overall Rating,Elevation Difference,Elevation Low,Elevation High,Trails Total,Trails Easy,Trails Intermediate,Trails Difficult,Lifts,Price,Link,Address,Ski resort size,"Slope offering, variety of runs",Lifts and cable cars,Snow reliability,Slope preparation,"Access, on-site parking","Orientation (trail map, information boards, sign-postings)",Cleanliness and hygiene,Environmentally friendly ski operation,Friendliness of staff,"Mountain restaurants, ski huts, gastronomy",Après-ski,Accommodation offering directly at the slopes and lifts,Families and children,Beginners,"Advanced skiers, freeriders",Snow parks,Cross-country skiing and trails
Vail,North America,USA,Colorado,,4.6,1070,2457,3527,234.0,57.0,84.0,93.0,34,299.0,https://www.skiresort.info/ski-resort/vail/,"Vail Valley Dr, 81657 Vail, United States",5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0
Telluride,North America,USA,Colorado,,4.5,1155,2660,3815,88.2,6.7,51.7,29.8,19,225.0,https://www.skiresort.info/ski-resort/telluride/,"Old Telluride, 300 Mahoney Dr, 81320 Telluride, United States",4.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0
Beaver Creek,North America,USA,Colorado,,4.5,1233,2255,3488,150.0,28.5,64.5,57.0,25,299.0,https://www.skiresort.info/ski-resort/beaver-creek/,"Prater Road, 81620 Avon, United States",4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0
Park City,North America,USA,Utah,Salt Lake City,4.4,975,2073,3048,250.0,20.0,105.0,125.0,42,299.0,https://www.skiresort.info/ski-resort/park-city/,"1825-1951 Canyons Resort Drive, 84098 Park City | Canyons Village, United States",5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0
Snowmass,North America,USA,Colorado,Aspen Snowmass,4.4,1340,2473,3813,237.0,12.0,114.0,111.0,20,244.0,https://www.skiresort.info/ski-resort/snowmass/,"Burnt Mountain Drive, 81611 Aspen, United States",5.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0
Mammoth Mountain,North America,USA,California,Mammoth Lakes,4.4,945,2424,3369,89.8,18.4,48.5,22.9,25,249.0,https://www.skiresort.info/ski-resort/mammoth-mountain/,"Minaret Road, 93546 Mammoth Lakes, United States",4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0
Deer Valley,North America,USA,Utah,Salt Lake City,4.4,914,2003,2917,103.0,28.0,42.0,33.0,25,299.0,https://www.skiresort.info/ski-resort/deer-valley/,"2250 Deer Valley Drive South, 84060 Park City, United States",4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,1.0,3.0
Palisades Tahoe,North America,USA,Western United States,Lake Tahoe,4.3,855,1890,2745,200.0,50.0,85.0,65.0,43,269.0,https://www.skiresort.info/ski-resort/palisades-tahoe/,"2000 Olympic Valley Road, 96146 Olympic Valley, United States",5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0
Breckenridge,North America,USA,Colorado,,4.3,988,2926,3914,153.0,28.0,60.0,65.0,35,279.0,https://www.skiresort.info/ski-resort/breckenridge/,"Blue River Bikeway, 80424 Breckenridge, United States",4.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,3.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0
Keystone,North America,USA,Colorado,,4.3,908,2835,3743,135.0,25.0,65.0,45.0,21,269.0,https://www.skiresort.info/ski-resort/keystone/,"Jones Gulch Road, 80435 Keystone, United States",4.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0
