antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'grocery_or_supermarket', 'store', 'supermarket'})","frozenset({'food', 'establishment'})",0.026148690360702,0.3715054237587089,0.026148690360702,1.0,2.691750741839763,0.0164343100675141,inf,0.6453701607425856
"frozenset({'finance', 'convenience_store', 'atm'})","frozenset({'establishment', 'store'})",0.0116412382044271,0.3312461416350648,0.0116412382044271,1.0,3.018903088391906,0.0077851229653559,inf,0.6766306772552868
"frozenset({'cafe', 'bakery'})","frozenset({'point_of_interest', 'store'})",0.011156186612576,0.3312461416350648,0.011156186612576,1.0,3.018903088391906,0.0074607428417994,inf,0.6762987736900781
"frozenset({'convenience_store', 'atm'})","frozenset({'finance', 'food', 'establishment'})",0.0116412382044271,0.012743628185907,0.0116412382044271,1.0,78.47058823529412,0.0114928865931264,inf,0.9988846256803784
"frozenset({'cafe', 'point_of_interest', 'bakery'})",frozenset({'store'}),0.011156186612576,0.3312461416350648,0.011156186612576,1.0,3.018903088391906,0.0074607428417994,inf,0.6762987736900781
"frozenset({'establishment', 'convenience_store', 'point_of_interest', 'atm'})",frozenset({'finance'}),0.0116412382044271,0.0134491577740541,0.0116412382044271,1.0,74.35409836065574,0.0114846733551305,inf,0.9981707861158204
"frozenset({'establishment', 'convenience_store', 'atm'})","frozenset({'finance', 'point_of_interest'})",0.0116412382044271,0.0134491577740541,0.0116412382044271,1.0,74.35409836065574,0.0114846733551305,inf,0.9981707861158204
"frozenset({'convenience_store', 'point_of_interest', 'atm'})","frozenset({'finance', 'establishment'})",0.0116412382044271,0.0134491577740541,0.0116412382044271,1.0,74.35409836065574,0.0114846733551305,inf,0.9981707861158204
"frozenset({'convenience_store', 'atm'})","frozenset({'finance', 'establishment', 'point_of_interest'})",0.0116412382044271,0.0134491577740541,0.0116412382044271,1.0,74.35409836065574,0.0114846733551305,inf,0.9981707861158204
"frozenset({'restaurant', 'cafe', 'point_of_interest', 'bakery'})","frozenset({'food', 'store'})",0.0104947526236881,0.1720169327101155,0.0104947526236881,1.0,5.813381184311715,0.0086894774678098,inf,0.836764705882353
"frozenset({'finance', 'establishment', 'convenience_store', 'atm'})",frozenset({'store'}),0.0116412382044271,0.3312461416350648,0.0116412382044271,1.0,3.018903088391906,0.0077851229653559,inf,0.6766306772552868
"frozenset({'establishment', 'convenience_store', 'store', 'atm'})",frozenset({'finance'}),0.0116412382044271,0.0134491577740541,0.0116412382044271,1.0,74.35409836065574,0.0114846733551305,inf,0.9981707861158204
"frozenset({'establishment', 'convenience_store', 'atm'})","frozenset({'finance', 'store'})",0.0116412382044271,0.012964106182203,0.0116412382044271,1.0,77.1360544217687,0.0114903199562526,inf,0.998661550816454
"frozenset({'food', 'convenience_store', 'atm'})","frozenset({'finance', 'establishment'})",0.0116412382044271,0.0134491577740541,0.0116412382044271,1.0,74.35409836065574,0.0114846733551305,inf,0.9981707861158204
"frozenset({'convenience_store', 'store', 'atm'})","frozenset({'finance', 'establishment'})",0.0116412382044271,0.0134491577740541,0.0116412382044271,1.0,74.35409836065574,0.0114846733551305,inf,0.9981707861158204
