day_of_year,temp,dew,humidity,pressure,latitude,longitude,icon
174,74.5,44.4,36.5,1015.7,40.6375799,-111.4789711,clear-day
307,34.2,15.9,46.7,1040.5,39.8757553,-105.7627761,clear-day
234,62.5,49.3,64.2,1017.5,44.5202794,-85.9439718,clear-day
121,51.8,15.0,28.0,1014.0,39.3369108,-119.8725223,clear-day
188,61.5,30.5,35.7,1014.2,39.3175212,-120.3305457,clear-day
138,42.7,22.8,46.6,1020.5,47.0277025,-71.3835431,clear-day
108,49.2,16.1,31.0,1025.1,38.5347193,-105.9989022,clear-day
168,64.1,51.9,66.0,1014.9,43.0577054,-86.2391592,clear-day
261,64.6,56.2,76.2,1016.7,41.5016638,-72.7364455,clear-day
112,46.1,13.1,30.1,1013.8,37.7723195,-119.0926029,clear-day
