,principal_components,explained_variance,cumulative_variance
0,principal_component_1,0.6737442381339482,0.6737442381339482
1,principal_component_2,0.09878698709315484,0.772531225227103
2,principal_component_3,0.08373991794425799,0.856271143171361
3,principal_component_4,0.04342854752646845,0.8996996906978294
4,principal_component_5,0.02799101518220156,0.927690705880031
5,principal_component_6,0.021094148561588782,0.9487848544416198
6,principal_component_7,0.01381000584555661,0.9625948602871763
7,principal_component_8,0.009687300394644117,0.9722821606818205
8,principal_component_9,0.008596616050429462,0.98087877673225
9,principal_component_10,0.007650330522210438,0.9885291072544604
10,principal_component_11,0.00667651947018995,0.9952056267246504
11,principal_component_12,0.003433174188766862,0.9986388009134173
12,principal_component_13,0.0013611990865827037,1.0
13,principal_component_14,1.1242532548197454e-17,1.0
14,principal_component_15,0.0,1.0
