,principal_component_1,principal_component_2
Overall Rating,0.29556263942537314,0.12840906530483476
Elevation Difference,0.2861906532938829,0.006434139358094976
Elevation Low,0.21756461565023213,-0.5312079550952209
Elevation High,0.25907533599311416,-0.4244186615777289
Trails Total,0.30002780158443126,0.10689600409577425
Trails Easy,0.26265050778851856,0.12732898691150799
Trails Intermediate,0.289895750933014,0.09736552068822502
Trails Difficult,0.2762460266292657,0.08700972445649155
Lifts,0.2512729435785852,0.20149856009879624
Price,0.2890039611097471,0.0590498783348862
Resort Size,0.2987624021126678,0.08136808460908758
Run Variety,0.296819043177344,0.04526553157387467
Lifts Quality,0.21544869447008047,0.22729277498106096
Latitude,-0.08235384000601485,0.010182806038013957
Longitude,-0.14038399447340263,0.6098708650900417
