,principal_component_1,principal_component_2,principal_component_3,principal_component_4,principal_component_5,principal_component_6,principal_component_7,principal_component_8,principal_component_9,principal_component_10,principal_component_11,principal_component_12,principal_component_13,principal_component_14,principal_component_15
Overall Rating,0.29556263942537314,0.12840906530483476,0.07040105210138639,0.23218373273150386,-0.09405178794628398,-0.04147931474958602,-0.0991547601759163,0.07297463231248759,-0.3782185280851288,0.15093546456549972,0.0636378005617704,-0.559794478392149,-0.5729874442756078,7.456904998737998e-15,7.67056252788796e-15
Elevation Difference,0.2861906532938829,0.006434139358094976,0.12760512903880053,0.1675305406217067,-0.22800864368350807,-0.19019789424983588,-0.369776174095651,-0.2537436870609672,0.5135127403029258,-0.39163009333252363,-0.3196541783118577,-0.10782987003270517,-0.056778631666001084,0.0051105948826454745,-0.22426553984479383
Elevation Low,0.21756461565023213,-0.5312079550952209,-0.23812566158022055,-0.0013414361873986377,-0.08900798294126744,-0.004356618638102467,0.19566782152250267,-0.019657627209066237,-0.1691752941211504,-0.21179069492499628,0.3465920215053734,0.03895459874082219,-0.001743926172373847,0.013896080681999535,-0.6097943796047397
Elevation High,0.25907533599311416,-0.4244186615777289,-0.15344320349861978,0.04837066462910238,-0.1387303666391753,-0.05963395279755788,0.04789128911745078,-0.09066944777714533,0.01579447913625343,-0.285562331150609,0.18380827251023785,-0.0005635871851563986,-0.018157989456767453,-0.017315040521371863,0.7598267910346155
Trails Total,0.30002780158443126,0.10689600409577425,0.08370449888147163,-0.2539122781644192,-0.012046361398858865,-0.09950809741703104,0.26487315652216314,0.08349091099717072,0.14791718488166403,0.08373153078948119,0.012234732827931364,-0.05162813549776834,0.03630895813752664,0.8405428776373276,0.019154410133950115
Trails Easy,0.26265050778851856,0.12732898691150799,0.0756401056675659,-0.16916800675032878,-0.24295637990529884,0.8070155503644011,0.24887271063745747,-0.15275608779118413,0.20229014525762662,0.04018818031703727,0.013476085164127903,-0.08942697162827316,-0.010378922121006481,-0.18452172265962283,-0.0042049071480816476
Trails Intermediate,0.289895750933014,0.09736552068822502,0.07206561573164377,-0.1860813692604886,0.0979094978963582,-0.19373955051106428,0.05622160427747573,0.6993476850748983,0.3267423690369177,-0.028556677941281024,0.20762531982454469,-0.16196587410877591,0.14019714777028688,-0.3614567453972398,-0.008236927503907409
Trails Difficult,0.2762460266292657,0.08700972445649155,0.08474553844192176,-0.32095358596348256,-0.001912068648376735,-0.4537918149779967,0.43667284983398125,-0.4311619457615739,-0.08683420019893291,0.20462636421100144,-0.18777304619823412,0.08836930057409435,-0.05093110732261499,-0.358147170950838,-0.008161508452714312
Lifts,0.2512729435785852,0.20149856009879624,-0.10909198418617512,-0.344662565418852,0.6011340952983993,0.15313540089913114,-0.23959185258478005,-0.11422015549599893,-0.3013167124300683,-0.4596037509703897,-0.06307550595675811,-0.04179200211341951,0.05051021496013142,2.7455847381164603e-16,6.575543321290856e-16
Price,0.2890039611097471,0.0590498783348862,-0.11285080147703408,0.07768989358780054,0.23163203642669888,-0.0018043396003232506,-0.40857324563604874,-0.280052373629731,0.2391741205947776,0.4902339096541697,0.4971163119864819,0.22427698337523083,-0.015568408845835551,-4.0186329163005897e-16,2.6994520459005133e-16
Resort Size,0.2987624021126678,0.08136808460908758,0.07649082036317366,0.015571316600607538,-0.2225680423023486,0.06026577407772577,-0.1327097273816953,0.31605678633818124,-0.2324641423289045,-0.033379986671867146,-0.19171748139812683,0.7341945083305679,-0.31048948414309807,5.526489934724433e-15,2.6153337656076335e-15
Run Variety,0.296819043177344,0.04526553157387467,0.09194681588549657,0.12203940044265613,-0.30423809992971523,-0.014356374743225875,-0.2234936751498025,0.005598953074213294,-0.4120949662519333,0.15458933560636773,-0.09546333498306495,-0.11285810939056402,0.7267624315551336,-8.151679101262287e-15,-2.8495853816631963e-15
Lifts Quality,0.21544869447008047,0.22729277498106096,-0.10190502460088341,0.7331859013817867,0.3394666647504998,0.030970018319792077,0.43568544622957023,-0.001735189993337242,0.05742717976232836,-0.10596649023732284,-0.06143496855224321,0.11397838740962282,0.12907350940570012,-1.9423964532359583e-15,-1.9406099199284793e-15
Latitude,-0.08235384000601485,0.010182806038013957,0.8454424543644613,0.07520327812666917,0.04887662302337223,-0.022854694631741154,0.05320844919902662,-0.12173116393430616,-0.09715113242439617,-0.23957272352310008,0.4192245314064012,0.096261946603566,0.01660721669534439,6.433542336927026e-16,-6.678293089789799e-16
Longitude,-0.14038399447340263,0.6098708650900417,-0.3306203909143716,-0.04212823249400123,-0.4104819658676668,-0.1584859599192323,0.0486249562111462,-0.10083752802747939,-0.051865508868409606,-0.3176928596131538,0.4297280432495855,0.05193897011435441,0.011694532834729269,4.950898224248649e-16,-1.1156730360676904e-15
