principal_components,explained_variance,cumulative_variance
principal_component_1,0.6799558326092112,0.6799558326092112
principal_component_2,0.1358693661293403,0.8158251987385515
principal_component_3,0.09836572197639454,0.9141909207149461
principal_component_4,0.07008551097506886,0.984276431690015
principal_component_5,0.011474714086353833,0.9957511457763688
principal_component_6,0.0021865513130777657,0.9979376970894466
principal_component_7,0.0009512664704709193,0.9988889635599175
principal_component_8,0.0005918483929154198,0.9994808119528329
principal_component_9,0.0004457468608414889,0.9999265588136744
principal_component_10,7.344118632561175e-05,1.0
